,Comment ID,Trust,Respondent ID,Date,Service type 1,Service type 2,FFT categorical answer,FFT question,FFT answer
2519,NHFT 606 - Q1,NHFT,NHFT 606,22/09/2021,Local partnerships- MH,Mental health services for older people,1,What could we do better?,You couldn't do better than you did. 
6383,NEAS S&C 3934 - Q1,NEAS,NEAS S&C 3934,07/04/2022,See and Convey,,1,FFT Why?,Looked after me good thank you to them both. 
7604,NEAS PTS 1717 - Q2,NEAS,NEAS PTS 1717,31/07/2022,PTS  - Patient Transport,,1,How could we improve?,"Ambulance staff very good, reassuring, friendly approachable."
5756,NEAS 111 1220 - Q1,NEAS,NEAS 111 1220,09/11/2021,111,,1,FFT Why?,Nothing
3806,NEAS S&C 2276 - Q1,NEAS,NEAS S&C 2276,10/08/2021,See and Convey,,1,FFT Why?,Ambulance staff were so polite and helpful explaining yhings
4363,NEAS PTS 724 - Q1,NEAS,NEAS PTS 724,01/11/2021,PTS  - Patient Transport,,1,FFT Why?,Nothing you are doing a good job now
2627,NHFT 1090 - Q1,NHFT,NHFT 1090,23/12/2021,Community health services,Specialist Services and CYP,1,What could we do better?,Nothing. 
4803,NHFT 385 - Q1,NHFT,NHFT 385,03/07/2021,Local partnerships- MH,Mental health services for older people,2,What could we do better?,Nothing.
6889,NHFT 578 - Q2,NHFT,NHFT 578,15/09/2021,Local partnerships- MH,Mental health services for older people,1,What was good?,"The meals, especially the breakfast.  Dinners, small breaks eg tea breaks and coffee breaks and the supper times.  The hospital staff were very understanding and caring.  Inside the wards, it was very clean."
7855,NEAS PTS 1458 - Q1,NEAS,NEAS PTS 1458,31/05/2022,PTS  - Patient Transport,,5,FFT Why?,Teach Ambulance attendants how to transfer patients better without trying to lift or drag people.
7289,NEAS PTS 757 - Q2,NEAS,NEAS PTS 757,30/11/2021,PTS  - Patient Transport,,1,How could we improve?,It came on time and got me to hospital and my department for appointment and got me home again. Thanks for the service.
2112,NEAS 111 1780 - Q2,NEAS,NEAS 111 1780,31/03/2022,111,,2,How could we improve?,Directed us to Children's A&E. All sorted after a hour.
7638,NEAS PTS 1819 - Q2,NEAS,NEAS PTS 1819,31/08/2022,PTS  - Patient Transport,,2,How could we improve?,"I have use them a few times. Also, foot clinic sending on 14th September to have my nails cut as I've never been since the Covid."
6756,NHFT 58 - Q2,NHFT,NHFT 58,14/06/2021,Local partnerships- MH,Prescribed services,4,What was good?,I am really struggling to think of a positive I can take from my experience at this service.
1254,NHFT 1150 - Q2,NHFT,NHFT 1150,21/01/2022,Local partnerships- MH,Mental health services for older people,1,What was good?,"Was introduced to a new medication, which hopefully will slow down the process of dementia. "
1998,NEAS 111 1351 - Q2,NEAS,NEAS 111 1351,10/12/2021,111,,2,How could we improve?,I didn't wait long on phone and the  2 people I spoke to was very helpful 
7080,NHFT 1715 - Q1,NHFT,NHFT 1715,03/02/2022,Unknown,Unknown,1,What could we do better?,Nothing.
1829,NHFT 1414 - Q1,NHFT,NHFT 1414,29/03/2022,Forensic,High secure LD,1,What could we do better?,Not enough staff to get us off the ward to do activities. 
2410,NHFT 143 - Q2,NHFT,NHFT 143,06/07/2021,Local partnerships- MH,Substance misuse services,1,What was good?,Everything!
1566,NHFT 522 - Q1,NHFT,NHFT 522,08/09/2021,Forensic,High secure MH,5,What could we do better?,Change the staff on the ward. 
7677,NEAS PTS 1936 - Q2,NEAS,NEAS PTS 1936,30/09/2022,PTS  - Patient Transport,,2,How could we improve?,Out ward journey from home ok. Return home wait 1hour 5 mins.
1662,NHFT 954 - Q1,NHFT,NHFT 954,29/10/2021,Unknown,Unknown,5,What could we do better?,"Everything. Completely abandoned after my third child. Assuming that because I've had two others ""I knew what I was doing"" dispite having mental health issues. Crisis team having to be involved then being forced on medication and not one single check being done on me since being put on medication. A person died through sepsis and pressure sores. Has been referred to coroner for post mortum and inquest."
4286,NEAS S&C 6381 - Q2,NEAS,NEAS S&C 6381,9/21/2022,See and Convey,,1,How could we improve?,They did everything good
4878,NHFT 476 - Q1,NHFT,NHFT 476,02/09/2021,Forensic,Offender health,4,What could we do better?,"Don't stop vital medication prescribed by psychiatrists & consultant surgeons, leaving me mentally broken &in pain & fear.  Help & don't fob me off just because I'm in prison.  Provide urgent essential care. Listen to me and don't judge. Treat me as an individual and part of the worst crowd.  HELP ME, don't push me into so much pain & despair I want to end my life EVERY SINGEL DAY,  this survey won't make a difference, you only want praise. "
7818,NEAS S&C 1928 - Q2,NEAS,NEAS S&C 1928,06/09/2021,See and Convey,,2,How could we improve?,When communicating with call handler for nature of call I feel communicates cannot be made as cslll handler ?is only able to go through a checklist system as opposed to listening to communication given by ‘person on telephone’ to then make informed decisi
4354,NEAS PTS 697 - Q1,NEAS,NEAS PTS 697,31/10/2021,PTS  - Patient Transport,,5,FFT Why?,I am 91. Could have done with easier transport.
2396,NHFT 379 - Q2,NHFT,NHFT 379,30/06/2021,Local partnerships- MH,Mental health services for older people,1,What was good?,"I think the staff were very helpful and kind. I want to thank them so much for all their hard work, which is much appreciated."
2500,NHFT 541 - Q1,NHFT,NHFT 541,13/09/2021,Forensic,Low secure and CFS,2,What could we do better?,Trips with OT dept. 
5831,NEAS 111 1495 - Q1,NEAS,NEAS 111 1495,31/01/2022,111,,1,FFT Why?,You could have not done anything better.
4588,NEAS PTS 1402 - Q1,NEAS,NEAS PTS 1402,31/05/2022,PTS  - Patient Transport,,5,FFT Why?,Be closer to time slot's both ways.
174,NEAS PTS 1056 - Q1,NEAS,NEAS PTS 1056,28/02/2022,PTS  - Patient Transport,,4,FFT Why?,Waiting time. It took 4 hours to get transport home.
6685,NHFT 1950 - Q1,NHFT,NHFT 1950,01/02/2022,Local partnerships- MH,Mental health services for older people,7,What could we do better?,I feel left out.  I feel like I'm suffering mentally and physically.  Insecure.  Awaiting major hernia operation.  In pain and discomfort.  COVID has prevented this from happening but I am 80 years old and the pain is making my life miserable.  I am comin
7503,NEAS PTS 1408 - Q2,NEAS,NEAS PTS 1408,31/05/2022,PTS  - Patient Transport,,1,How could we improve?,Because that's what it was.
3278,NEAS 111 2642 - Q2,NEAS,NEAS 111 2642,07/09/2022,111,,1,How could we improve?,"Answered call quickly, listened  and gave good advice. I was prescribed antibiotics and the prescription sent to a chemist out my choice. I was able to continue working and didn’t have to take anytime off to have to attend an appointment. For me this was prefect and streamlined the process. "
6024,NEAS 111 2210 - Q1,NEAS,NEAS 111 2210,07/06/2022,111,,1,FFT Why?,Possibly answer the phone quicker 
6369,NEAS S&C 3815 - Q1,NEAS,NEAS S&C 3815,25/03/2022,See and Convey,,1,FFT Why?,Efficient & on time professional crew 
623,NEAS S&C 3440 - Q1,NEAS,NEAS S&C 3440,18/02/2022,See and Convey,,1,FFT Why?,They were very helpful. Put meat ease and made me feel at ease 
3227,NEAS 111 2455 - Q2,NEAS,NEAS 111 2455,31/07/2022,111,,1,How could we improve?,Problem dealt within 1st instance on phone then ambulance sent all helpful.
5073,NHFT 1876 - Q2,NHFT,NHFT 1876,01/02/2022,Local partnerships- MH,Adult mental health,7,What was good?,I am happy with my nice CPN and support worker.  I am having counselling with treat PTS in May 2022.
6812,NHFT 250 - Q2,NHFT,NHFT 250,14/07/2021,Community health services,Children and young people,1,What was good?,Everything.
7579,NEAS PTS 1642 - Q2,NEAS,NEAS PTS 1642,30/06/2022,PTS  - Patient Transport,,1,How could we improve?,On time. Helpful.
6651,NEAS S&C 6229 - Q1,NEAS,NEAS S&C 6229,14/09/2022,See and Convey,,1,FFT Why?,Very caring staff and  very good in the way they looked after me.
5414,NHFT 748 - Q1,NHFT,NHFT 748,04/10/2021,Local partnerships- MH,Adult mental health,1,What could we do better?,Not discount issues.
5190,NHFT 1546 - Q2,NHFT,NHFT 1546,11/04/2022,Community health services,South Notts,2,What was good?,"They showed good patient services to me, very polite and listened to all requirements I needed to get better.  Attending to patients quickly. "
6285,NEAS S&C 3101 - Q1,NEAS,NEAS S&C 3101,18/01/2022,See and Convey,,2,FFT Why?,Came quite quick and went down a lot of routes to solve the problem 
2662,NHFT 1834 - Q2,NHFT,NHFT 1834,01/02/2022,Local partnerships- MH,Adult mental health,7,What was good?,I have no will to live - my life is pointless so they must be angels as they seem to be keeping me alive.#### 
3776,NEAS PTS 1917 - Q2,NEAS,NEAS PTS 1917,30/09/2022,PTS  - Patient Transport,,2,How could we improve?,Picked up easy. Pleasant trip.
6509,NEAS S&C 5005 - Q1,NEAS,NEAS S&C 5005,14/06/2022,See and Convey,,1,FFT Why?,The help arrived quickly
2559,NHFT 816 - Q2,NHFT,NHFT 816,07/10/2021,Community health services,Specialist Services and CYP,1,What was good?,Everything
1859,NHFT 1532 - Q1,NHFT,NHFT 1532,06/04/2022,Local partnerships- MH,Mental health services for older people,1,What could we do better?,"Nothing, the service was very good and I don't think you could improve on it. "
6819,NHFT 278 - Q1,NHFT,NHFT 278,20/07/2021,Community health services,Children and young people,1,What could we do better?,Nothing.
628,NEAS S&C 3482 - Q2,NEAS,NEAS S&C 3482,18/02/2022,See and Convey,,2,How could we improve?,One crew of three people disappeared back to the ambulance which was too faraway from the house to get them to come back in. This was very worrying.  Surely one of the three could have stayed with the very ill patient.
1387,NHFT 1500 - Q2,NHFT,NHFT 1500,04/04/2022,Community health services,South Notts,1,What was good?,Everything
2430,NHFT 227 - Q2,NHFT,NHFT 227,08/07/2021,Local partnerships- MH,Mental health services for older people,1,What was good?,"In my opinion form Start to finish every person I have spoken to or seen have been absolutely amazing.  I now have my mum back, after how poorly she was this is fantastic. "
2033,NEAS 111 1487 - Q1,NEAS,NEAS 111 1487,31/01/2022,111,,2,FFT Why?,"Clear speech, short sentences later not so precise."
2035,NEAS 111 1494 - Q2,NEAS,NEAS 111 1494,31/01/2022,111,,1,How could we improve?,"Rang on Boxing day 2021. Got reply, discussed. Later, another doctor rang back, discussed. Diagnosed shingles. Got medicine prescribed (aciclovir800) and dispensed. All on boxing day."
5600,NHFT 1350 - Q2,NHFT,NHFT 1350,14/03/2022,Forensic,High secure MH,2,What was good?,Everything very good here. 
7633,NEAS PTS 1804 - Q2,NEAS,NEAS PTS 1804,31/08/2022,PTS  - Patient Transport,,1,How could we improve?,I was very pleased with the way we were treated.
2110,NEAS 111 1773 - Q1,NEAS,NEAS 111 1773,31/03/2022,111,,3,FFT Why?,A quicker response on calls with more advisers.
2184,NEAS 111 2048 - Q1,NEAS,NEAS 111 2048,24/05/2022,111,,2,FFT Why?,Answer calls quicker 
2132,NEAS 111 1857 - Q2,NEAS,NEAS 111 1857,12/04/2022,111,,3,How could we improve?,Far too long waiting on the phone 
3814,NEAS S&C 2344 - Q1,NEAS,NEAS S&C 2344,10/09/2021,See and Convey,,1,FFT Why?,"Staff were caring, supportive and knowledgeable in their duty of care. Answered my questions honestly and I felt safe in their hands. Genuine concern and put me and my wife at ease. "
2273,NEAS 111 2381 - Q3,NEAS,NEAS 111 2381,24/07/2022,111,,1,"Please describe any things about the 111 service that
you were particularly satisfied and/or dissatisfied with",The fact that money has been wasted sendin me this surveyThe fact that it is a massive waste of timeThe fact that just 10 of these letters could of bought medication for a poorly child
1041,NHFT 395 - Q2,NHFT,NHFT 395,10/07/2021,Community health services,Nottingham North and East,5,What was good?,Nothing
759,NEAS S&C 4596 - Q1,NEAS,NEAS S&C 4596,17/05/2022,See and Convey,,1,FFT Why?,Listen to problems and patient  with in 10 mins had patient stable and help save his life.  Could not fault them 
554,NEAS S&C 2845 - Q1,NEAS,NEAS S&C 2845,09/12/2021,See and Convey,,1,FFT Why?,The driver's on my outgoing and returning journeys were very pleasant and very helpful. 
3202,NEAS 111 2363 - Q3,NEAS,NEAS 111 2363,19/07/2022,111,,2,"Please describe any things about the 111 service that
you were particularly satisfied and/or dissatisfied with","Lack of communication between 111 and GP practice, as I was trying too avoid using A and E or walkin centre."
3895,NEAS S&C 3032 - Q2,NEAS,NEAS S&C 3032,12/31/2021,See and Convey,,1,How could we improve?,Another time it was impossible to get an ambulance because there were none available.
3730,NEAS PTS 1779 - Q2,NEAS,NEAS PTS 1779,01/08/2022,PTS  - Patient Transport,,2,How could we improve?,The service is good. Going into the hospital. It's the return journey coming home.
6839,NHFT 339 - Q2,NHFT,NHFT 339,05/08/2021,Forensic,Offender health,1,What was good?,They helped me with staying clean and away from drugs. 
528,NEAS S&C 2624 - Q1,NEAS,NEAS S&C 2624,09/11/2021,See and Convey,,3,FFT Why?,I gave this answer as the phone opperators were amazing but the abulance wasn’t as good 
2788,NHFT 1517 - Q2,NHFT,NHFT 1517,06/04/2022,Community health services,Specialist Services and CYP,1,What was good?,Everything.
7703,NEAS 111 924 - Q1,NEAS,NEAS 111 924,24/09/2021,111,,5,FFT Why?,1  Answered promptly  or admitted unable to deal2  Dispatched ambulance as claimed3  If unable to deal with situation ADMIT this and confirm that I was on my own
5249,NHFT 40 - Q2,NHFT,NHFT 40,28/06/2021,Forensic,Arnold lodge,3,What was good?,"Individualized care - they observe everything you do )which is bad as well as good) which means they individualize care.
OT classes are good.
Chaplaincy services are good. "
917,NEAS S&C 5939 - Q1,NEAS,NEAS S&C 5939,16/08/2022,See and Convey,,1,FFT Why?,Quick response and knowledgeable staff
6903,NHFT 638 - Q2,NHFT,NHFT 638,23/09/2021,Local partnerships- MH,Prescribed services,1,What was good?,"Environment and staff was very supportive & friendly. 
I did not feel uncomfortable in anyway. "
4284,NEAS S&C 6364 - Q2,NEAS,NEAS S&C 6364,9/21/2022,See and Convey,,1,How could we improve?,Nothing it was spot on well done keep up tge good work 
7810,NEAS S&C 1030 - Q1,NEAS,NEAS S&C 1030,30/06/2021,See and Convey,,3,FFT Why?,The call centre system was poor. The ambulance staff were very good when they arrived.
7605,NEAS PTS 1720 - Q2,NEAS,NEAS PTS 1720,31/07/2022,PTS  - Patient Transport,,2,How could we improve?,Good going. Had to wait the 1hour 55 mins return home.
5680,NHFT 1632 - Q2,NHFT,NHFT 1632,09/05/2022,Local partnerships- MH,Learning disability,2,What was good?,"I learnt how to cook, helped me to not eat junk.  Helped me to make plans.  Supported me when I have been upset/anxious. 1:1 sessions.  Thank you for helping me move on. "
6021,NEAS 111 2199 - Q1,NEAS,NEAS 111 2199,31/05/2022,111,,1,FFT Why?,More people answering the phones
5596,NHFT 1335 - Q2,NHFT,NHFT 1335,11/03/2022,Community health services,Specialist Services and CYP,1,What was good?,Very helpful and kind
1593,NHFT 621 - Q1,NHFT,NHFT 621,22/09/2021,Community health services,Children and young people,1,What could we do better?,Nothing
7164,NHFT 1520 - Q2,NHFT,NHFT 1520,06/04/2022,Community health services,Specialist Services and CYP,1,What was good?,"Excellent care.  Initial assessment very good, all explained very clearly.  Procedure very good & follow up appointment very good. "
6767,NHFT 26 - Q2,NHFT,NHFT 26,28/06/2021,Forensic,Arnold lodge,2,What was good?,
6016,NEAS 111 2180 - Q3,NEAS,NEAS 111 2180,31/05/2022,111,,3,"Please describe any things about the 111 service that
you were particularly satisfied and/or dissatisfied with",Having to travel 15 miles to Bishop Auckland for a relatively minor matter.
3310,NEAS 111 2759 - Q3,NEAS,NEAS 111 2759,30/09/2022,111,,2,"Please describe any things about the 111 service that
you were particularly satisfied and/or dissatisfied with",Decision by Medic at clinic to send to hospital quickly taken and proved correct. Had to wait 5 hours at hospital A&E.
7012,NHFT 1117 - Q1,NHFT,NHFT 1117,24/12/2021,Forensic,Arnold lodge,2,What could we do better?,Have more regular staff available. 
5643,NHFT 1503 - Q2,NHFT,NHFT 1503,05/04/2022,Community health services,Specialist Services and CYP,1,What was good?,"Excellent information given.
Support from staff.
Friendly, approachable."
2158,NEAS 111 1952 - Q3,NEAS,NEAS 111 1952,30/04/2022,111,,1,"Please describe any things about the 111 service that
you were particularly satisfied and/or dissatisfied with",Complete satisfaction.
6410,NEAS S&C 4163 - Q2,NEAS,NEAS S&C 4163,12/04/2022,See and Convey,,3,How could we improve?,"It is understandable the amount of pressure the service is put under, more call handlers possibly but this is obviously difficult "
5103,NHFT 1714 - Q2,NHFT,NHFT 1714,03/02/2022,Local partnerships- MH,Adult mental health,1,What was good?,They listened to me as a patient an didn't talk down to me.
3861,NEAS S&C 2743 - Q2,NEAS,NEAS S&C 2743,12/09/2021,See and Convey,,3,How could we improve?,Ambulance bed was like freezing ice and journey of 30 mins was not good  either 
2779,NHFT 1486 - Q1,NHFT,NHFT 1486,02/04/2022,Local partnerships- MH,Mental health services for older people,1,What could we do better?,"Nothing, was extremely pleased with the service. "
2504,NHFT 557 - Q1,NHFT,NHFT 557,13/09/2021,Forensic,Low secure and CFS,2,What could we do better?,Nothing. 
1956,NEAS 111 1197 - Q2,NEAS,NEAS 111 1197,07/11/2021,111,,1,How could we improve?,The person I spoke to was both friendly and efficient and listened. 
7627,NEAS PTS 1786 - Q2,NEAS,NEAS PTS 1786,24/08/2022,PTS  - Patient Transport,,1,How could we improve?,Very professional and friendly. 
1640,NHFT 841 - Q2,NHFT,NHFT 841,09/10/2021,Community health services,Specialist Services and CYP,1,What was good?,Care.
4063,NEAS S&C 4469 - Q1,NEAS,NEAS S&C 4469,05/10/2022,See and Convey,,1,FFT Why?,"The ambulance arrived quickly, the staff were very clear in what was happening and gave advice. The staff seemed very caring and compassionate. "
3065,NEAS 111 1861 - Q2,NEAS,NEAS 111 1861,12/04/2022,111,,1,How could we improve?,"Friendly, professional & helpful "
1589,NHFT 605 - Q1,NHFT,NHFT 605,22/09/2021,Local partnerships- MH,Mental health services for older people,1,What could we do better?,Noth. 
3589,NEAS PTS 1356 - Q2,NEAS,NEAS PTS 1356,31/05/2022,PTS  - Patient Transport,,1,How could we improve?,Only patient on ambulance so there on time.
5105,NHFT 1720 - Q2,NHFT,NHFT 1720,07/02/2022,Local partnerships- MH,Adult mental health,4,What was good?,Nothing.
5224,NHFT 1661 - Q2,NHFT,NHFT 1661,17/05/2022,Community health services,South Notts,2,What was good?,The staff were very kind and supported during a difficult time.
3077,NEAS 111 1905 - Q2,NEAS,NEAS 111 1905,26/04/2022,111,,3,How could we improve?,I didn't speak to anyone
3513,NEAS PTS 1125 - Q2,NEAS,NEAS PTS 1125,28/02/2022,PTS  - Patient Transport,,1,How could we improve?,"Transport arrived on time. Driver was pleasant, caring and polite."
5975,NEAS 111 2023 - Q1,NEAS,NEAS 111 2023,10/05/2022,111,,5,FFT Why?,Answer calls in an acceptable time frame (under 5 mins as a max).Inform your call handlers that they should be polite.
3159,NEAS 111 2206 - Q1,NEAS,NEAS 111 2206,07/06/2022,111,,4,FFT Why?,I think it’s a waste of funds to have this when you could direct funds to more GP’s ect
6166,NEAS 111 2734 - Q2,NEAS,NEAS 111 2734,30/09/2022,111,,1,How could we improve?,There was no hesitation and was directed to the right department.
2572,NHFT 864 - Q2,NHFT,NHFT 864,14/10/2021,Community health services,Specialist Services and CYP,1,What was good?,Very friendly service and understanding that a 2 year old did not want to be measured.
6227,NEAS S&C 2608 - Q1,NEAS,NEAS S&C 2608,09/11/2021,See and Convey,,2,FFT Why?,The 999 guy was good and as helpful as possible even though low priority and a five hour wait.  Ambulance crew were excellent
6204,NEAS S&C 2404 - Q1,NEAS,NEAS S&C 2404,17/10/2021,See and Convey,,1,FFT Why?,They were very good and helpful explaining what they were doing and going to do
4783,NHFT 65 - Q2,NHFT,NHFT 65,16/06/2021,Local partnerships- MH,Mental health services for older people,1,What was good?,"The staff are always clean, smart and cheerful despite many challenges. The ward is neat and tidy. On the whole my stay was good."
4622,NEAS PTS 1504 - Q1,NEAS,NEAS PTS 1504,31/05/2022,PTS  - Patient Transport,,1,FFT Why?,No change.
7792,NEAS 111 2177 - Q3,NEAS,NEAS 111 2177,31/05/2022,111,,2,"Please describe any things about the 111 service that 
you were particularly satisfied and/or dissatisfied with",As stated previously 111 called is not easy to get through on the phone and not everyone has a computer.
7441,NEAS PTS 1222 - Q2,NEAS,NEAS PTS 1222,31/03/2022,PTS  - Patient Transport,,1,How could we improve?,Very polite/on time and very caring in all ways.
6010,NEAS 111 2158 - Q3,NEAS,NEAS 111 2158,31/05/2022,111,,3,"Please describe any things about the 111 service that
you were particularly satisfied and/or dissatisfied with","That once through to someone, they listened to my answers."
7680,NEAS PTS 1945 - Q2,NEAS,NEAS PTS 1945,30/09/2022,PTS  - Patient Transport,,1,How could we improve?,"Crews very helpful, caring, and cheerful."
3176,NEAS 111 2268 - Q2,NEAS,NEAS 111 2268,30/06/2022,111,,2,How could we improve?,"In the last 7 weeks had very heavy nose bleeds which have lasted 40 - 45 minutes, very distressing, advised to go to A&E, which is another 45 minutes away, was not sure if 111 understand distress."
6357,NEAS S&C 3713 - Q1,NEAS,NEAS S&C 3713,09/03/2022,See and Convey,,1,FFT Why?,"Very professional, I understand strain on service but crew came within time frame"
6452,NEAS S&C 4520 - Q2,NEAS,NEAS S&C 4520,10/05/2022,See and Convey,,1,How could we improve?,Excellent 
6814,NHFT 258 - Q2,NHFT,NHFT 258,14/07/2021,Community health services,Children and young people,1,What was good?,"Everything, it was a nice experience."
5987,NEAS 111 2070 - Q3,NEAS,NEAS 111 2070,31/05/2022,111,,1,"Please describe any things about the 111 service that
you were particularly satisfied and/or dissatisfied with",Very good contacting my GP as could not get appointment let down by surgery as had to chase up medication ordered by 111.
2419,NHFT 182 - Q2,NHFT,NHFT 182,07/07/2021,Community health services,Specialist services,1,What was good?,So very caring. 
3567,NEAS PTS 1290 - Q2,NEAS,NEAS PTS 1290,24/04/2022,PTS  - Patient Transport,,1,How could we improve?,I received  every careAnd assistanceSo in my case I don't feel any thing could be better 
4525,NEAS PTS 1213 - Q1,NEAS,NEAS PTS 1213,31/03/2022,PTS  - Patient Transport,,1,FFT Why?,No.
4390,NEAS PTS 805 - Q1,NEAS,NEAS PTS 805,30/11/2021,PTS  - Patient Transport,,1,FFT Why?,Have to be ready 2 hours prior to appointment time. Very awkward with being wheelchair bound.
6098,NEAS 111 2485 - Q1,NEAS,NEAS 111 2485,02/08/2022,111,,1,FFT Why?,The wait time for someone to answer the call. 
3824,NEAS S&C 2429 - Q1,NEAS,NEAS S&C 2429,10/28/2021,See and Convey,,3,FFT Why?,I’ve had paramedics be transphobic towards me and had me arrested for false allegations 
3376,NEAS PTS 711 - Q2,NEAS,NEAS PTS 711,31/10/2021,PTS  - Patient Transport,,2,How could we improve?,Can't fault.
211,NEAS PTS 1167 - Q1,NEAS,NEAS PTS 1167,28/02/2022,PTS  - Patient Transport,,5,FFT Why?,Everything was very good.
1825,NHFT 1776 - Q1,NHFT,NHFT 1776,28/03/2022,Local partnerships- MH,Adult mental health,2,What could we do better?,More notice before final appointment. Better communication when medication has been increased (e.g. phone call to monitor side effects of medicine isn't well tolerated) and better/more prompt discharge communication to GP.
1459,NHFT 22 - Q2,NHFT,NHFT 22,28/06/2021,Forensic,Arnold lodge,1,What was good?,"Comprehension, listening, helpful advice & support"
5854,NEAS 111 1579 - Q2,NEAS,NEAS 111 1579,10/02/2022,111,,1,How could we improve?,Good help
2228,NEAS 111 2213 - Q1,NEAS,NEAS 111 2213,07/06/2022,111,,1,FFT Why?,Waiting times in a&e  but just high volume of customers
5273,NHFT 167 - Q1,NHFT,NHFT 167,07/07/2021,Community health services,Rushcliffe,2,What could we do better?,"I was left on the toilet once for a very long time.  I was getting anxious, something must have happened.  The staff are very busy all the time. I hear the staff talking sometimes but I shouldn't talk about that.
Staff are overstretched all the time."
4249,NEAS S&C 6050 - Q1,NEAS,NEAS S&C 6050,8/30/2022,See and Convey,,2,FFT Why?,"I have dealt with 3 different crews recently. All professional, knowledgeable excellent teams"
7898,NHFT 34 - Q2,NHFT,NHFT 34,28/06/2021,Forensic,Arnold lodge,4,What was good?,Getting more money on benefits.
3640,NEAS PTS 1509 - Q2,NEAS,NEAS PTS 1509,31/05/2022,PTS  - Patient Transport,,1,How could we improve?,"You yourselves could not have done better at all 10/10. [5. How did you travel to your appointment, was it by:] Ticked Don’t know. Was a normal car.  Many thanks."
4703,NEAS PTS 1747 - Q1,NEAS,NEAS PTS 1747,01/08/2022,PTS  - Patient Transport,,2,FFT Why?,Call handler could be more helpful and less argumentative.
1307,NHFT 1992 - Q1,NHFT,NHFT 1992,01/02/2022,Local partnerships- MH,Adult mental health,7,What could we do better?,"Have nothing to do, need something to occupy."
5397,NHFT 801 - Q1,NHFT,NHFT 801,28/09/2021,,,5,What could we do better?,"Get rid off this present team, and put in a caring team, who donÃ¢â‚¬â„¢t take it away, his pressure were unstageable. Nothing. The district nurses took [Name Redacted] bed away, and for 6 weeks left him in total agony. He had ordinary mattress. He was bedridden and suffered through their neglect.

"
3982,NEAS S&C 3772 - Q1,NEAS,NEAS S&C 3772,3/18/2022,See and Convey,,1,FFT Why?,"Came quickly, met needs of patient quickly."
1349,NHFT 1355 - Q2,NHFT,NHFT 1355,14/03/2022,Forensic,High secure MH,1,What was good?,When on Alford ward there was more off ward skills/groups. 
4244,NEAS S&C 6007 - Q2,NEAS,NEAS S&C 6007,8/24/2022,See and Convey,,1,How could we improve?,"Nothing, very happy with the service including the response time."
2690,NHFT 1946 - Q2,NHFT,NHFT 1946,01/02/2022,Local partnerships- MH,Mental health services for older people,7,What was good?,Very good.
611,NEAS S&C 3338 - Q1,NEAS,NEAS S&C 3338,10/02/2022,See and Convey,,1,FFT Why?,"Could not fault the service from the call handlers through to the paramedics and the hospital staff. Polite service, friendly and very understanding. "
4202,NEAS S&C 5650 - Q2,NEAS,NEAS S&C 5650,7/31/2022,See and Convey,,1,How could we improve?,Worried about waiting time. In case condition deteriorated. Waited about 20 mins.
6781,NHFT 123 - Q2,NHFT,NHFT 123,05/07/2021,Local partnerships- MH,Mental health services for older people,2,What was good?,"Unsure of service to start, but began to enjoy the visit from all staff. "
3938,NEAS S&C 3398 - Q1,NEAS,NEAS S&C 3398,02/10/2022,See and Convey,,1,FFT Why?,Very distressing time for the family the crew were amazing took there time and helped all the family come to terms with tmwhat was happening
3672,NEAS PTS 1605 - Q2,NEAS,NEAS PTS 1605,30/06/2022,PTS  - Patient Transport,,1,How could we improve?,They were very caring.
6400,NEAS S&C 4078 - Q2,NEAS,NEAS S&C 4078,08/04/2022,See and Convey,,1,How could we improve?,Nothing
4385,NEAS PTS 790 - Q1,NEAS,NEAS PTS 790,30/11/2021,PTS  - Patient Transport,,1,FFT Why?,Nothing really.
5377,NHFT 607 - Q1,NHFT,NHFT 607,22/09/2021,Local partnerships- MH,Mental health services for older people,1,What could we do better?,Managing the appointment system.
783,NEAS S&C 4800 - Q1,NEAS,NEAS S&C 4800,31/05/2022,See and Convey,,5,FFT Why?,Waiting time over 3 hrs.
618,NEAS S&C 3397 - Q2,NEAS,NEAS S&C 3397,10/02/2022,See and Convey,,3,How could we improve?,I think for heart attack patients should have a ambulance within at least halt an hour 
7239,NEAS PTS 604 - Q2,NEAS,NEAS PTS 604,30/09/2021,PTS  - Patient Transport,,1,How could we improve?,Due to staff on due the day of my appointment.
591,NEAS S&C 3159 - Q2,NEAS,NEAS S&C 3159,18/01/2022,See and Convey,,1,How could we improve?,There's nothing 
7185,NHFT 1602 - Q2,NHFT,NHFT 1602,17/04/2022,Forensic,Wathwood,1,What was good?,Nice hospital with good staff. 
6291,NEAS S&C 3152 - Q1,NEAS,NEAS S&C 3152,18/01/2022,See and Convey,,1,FFT Why?,"The level of service and care displayed by all the paramedics that helped my mam when she broke her leg after a fall was outstanding.During a very anxious time they were simply brilliant,they assessed a difficult situation  and worked out what was needed in a calm highly professional manner."
7850,NEAS S&C 6207 - Q1,NEAS,NEAS S&C 6207,07/09/2022,See and Convey,,2,FFT Why?,"Although it took over three hours fir a paramedic  to arrive with oxygen,  I was regularly  updated and supported throughout.  My 89 year old mother on the other hand was so desperate  for help with her breathing. It was overwhelming  to witness as Gettin"
419,NEAS PTS 1797 - Q1,NEAS,NEAS PTS 1797,31/08/2022,PTS  - Patient Transport,,1,FFT Why?,Not a thing.
